iter	Passed	Remaining
868	11958	1802
869	11970	1788
870	11983	1774
871	11996	1760
872	12008	1746
873	12023	1733
874	12036	1719
875	12049	1705
876	12061	1691
877	12075	1677
878	12088	1664
879	12101	1650
880	12116	1636
881	12129	1622
882	12141	1608
883	12153	1594
884	12166	1581
885	12179	1567
886	12191	1553
887	12204	1539
888	12218	1525
889	12231	1511
890	12243	1497
891	12255	1483
892	12268	1470
893	12282	1456
894	12295	1442
895	12309	1428
896	12322	1415
897	12335	1401
898	12348	1387
899	12360	1373
900	12373	1359
901	12386	1345
902	12400	1332
903	12412	1318
904	12426	1304
905	12438	1290
906	12450	1276
907	12463	1262
908	12476	1249
909	12489	1235
910	12503	1221
911	12517	1207
912	12531	1194
913	12544	1180
914	12556	1166
915	12569	1152
916	12580	1138
917	12593	1124
918	12606	1111
919	12619	1097
920	12633	1083
921	12646	1069
922	12660	1056
923	12673	1042
924	12685	1028
925	12697	1014
926	12710	1000
927	12725	987
928	12738	973
929	12752	959
930	12766	946
931	12779	932
932	12792	918
933	12804	904
934	12817	891
935	12830	877
936	12843	863
937	12856	849
938	12869	836
939	12881	822
940	12894	808
941	12907	794
942	12920	780
943	12934	767
944	12948	753
945	12961	739
946	12974	726
947	12987	712
948	12999	698
949	13012	684
950	13025	671
951	13038	657
952	13050	643
953	13063	629
954	13075	616
955	13087	602
956	13100	588
957	13113	574
958	13127	561
959	13141	547
960	13162	534
961	13190	521
962	13207	507
963	13221	493
964	13235	480
965	13247	466
966	13259	452
967	13269	438
968	13280	424
969	13291	411
970	13303	397
971	13314	383
972	13325	369
973	13337	356
974	13349	342
975	13360	328
976	13373	314
977	13385	301
978	13396	287
979	13407	273
980	13419	259
981	13431	246
982	13442	232
983	13454	218
984	13468	205
985	13480	191
986	13493	177
987	13506	164
988	13518	150
989	13529	136
990	13542	122
991	13556	109
992	13568	95
993	13583	81
994	13595	68
995	13609	54
996	13622	40
997	13634	27
998	13645	13
999	13657	0
